Insolvencies Filed by,Province,Proposals or Bankrupt,Date,# insolvencies
Businesses,Newfoundland and Labrador,Bankruptcies,01-07-2014,0
Businesses,Newfoundland and Labrador,Bankruptcies,01-08-2014,2
Businesses,Newfoundland and Labrador,Bankruptcies,01-09-2014,1
Businesses,Newfoundland and Labrador,Bankruptcies,01-10-2014,8
Businesses,Newfoundland and Labrador,Bankruptcies,01-11-2014,2
Businesses,Newfoundland and Labrador,Bankruptcies,01-12-2014,2
Businesses,Newfoundland and Labrador,Proposals,01-01-2014,1
Businesses,Newfoundland and Labrador,Proposals,01-02-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-03-2014,1
Businesses,Newfoundland and Labrador,Proposals,01-04-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-05-2014,1
Businesses,Newfoundland and Labrador,Proposals,01-06-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-07-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-08-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-09-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-10-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-11-2014,0
Businesses,Newfoundland and Labrador,Proposals,01-12-2014,0
Businesses,Northwest Territories,Bankruptcies,01-01-2014,0
Businesses,Northwest Territories,Bankruptcies,01-02-2014,0
Businesses,Northwest Territories,Bankruptcies,01-03-2014,0
Businesses,Northwest Territories,Bankruptcies,01-04-2014,0
Businesses,Northwest Territories,Bankruptcies,01-05-2014,0
Businesses,Northwest Territories,Bankruptcies,01-06-2014,0
Businesses,Northwest Territories,Bankruptcies,01-07-2014,0
Businesses,Northwest Territories,Bankruptcies,01-08-2014,0
Businesses,Northwest Territories,Bankruptcies,01-09-2014,0
Businesses,Northwest Territories,Bankruptcies,01-10-2014,0
Businesses,Northwest Territories,Bankruptcies,01-11-2014,0
Businesses,Northwest Territories,Bankruptcies,01-12-2014,0
Businesses,Northwest Territories,Proposals,01-01-2014,0
Businesses,Northwest Territories,Proposals,01-02-2014,0
Businesses,Northwest Territories,Proposals,01-03-2014,0
Businesses,Northwest Territories,Proposals,01-04-2014,0
Businesses,Northwest Territories,Proposals,01-05-2014,0
Businesses,Northwest Territories,Proposals,01-06-2014,0
Businesses,Northwest Territories,Proposals,01-07-2014,0
Businesses,Northwest Territories,Proposals,01-08-2014,0
Businesses,Northwest Territories,Proposals,01-09-2014,0
Businesses,Northwest Territories,Proposals,01-10-2014,0
Businesses,Northwest Territories,Proposals,01-11-2014,0
Businesses,Northwest Territories,Proposals,01-12-2014,0
Businesses,Nova Scotia,Bankruptcies,01-01-2014,3
Businesses,Nova Scotia,Bankruptcies,01-02-2014,3
Businesses,Nova Scotia,Bankruptcies,01-03-2014,2
Businesses,Nova Scotia,Bankruptcies,01-04-2014,5
Businesses,Nova Scotia,Bankruptcies,01-05-2014,10
Businesses,Nova Scotia,Bankruptcies,01-06-2014,2
Businesses,Nova Scotia,Bankruptcies,01-07-2014,6
Businesses,Nova Scotia,Bankruptcies,01-08-2014,4
Businesses,Nova Scotia,Bankruptcies,01-09-2014,3
Businesses,Nova Scotia,Bankruptcies,01-10-2014,4
Businesses,Nova Scotia,Bankruptcies,01-11-2014,5
Businesses,Nova Scotia,Bankruptcies,01-12-2014,5
Businesses,Nova Scotia,Proposals,01-01-2014,1
Businesses,Nova Scotia,Proposals,01-02-2014,4
Businesses,Nova Scotia,Proposals,01-03-2014,4
Businesses,Nova Scotia,Proposals,01-04-2014,2
Businesses,Nova Scotia,Proposals,01-05-2014,2
Businesses,Nova Scotia,Proposals,01-06-2014,2
Businesses,Nova Scotia,Proposals,01-07-2014,3
Businesses,Nova Scotia,Proposals,01-08-2014,3
Businesses,Nova Scotia,Proposals,01-09-2014,0
Businesses,Nova Scotia,Proposals,01-10-2014,0
Businesses,Nova Scotia,Proposals,01-11-2014,2
Businesses,Nova Scotia,Proposals,01-12-2014,2
Businesses,Nunavut,Bankruptcies,01-01-2014,0
Businesses,Nunavut,Bankruptcies,01-02-2014,0
Businesses,Nunavut,Bankruptcies,01-03-2014,0
Businesses,Nunavut,Bankruptcies,01-04-2014,0
Businesses,Nunavut,Bankruptcies,01-05-2014,0
Businesses,Nunavut,Bankruptcies,01-06-2014,0
Businesses,Nunavut,Bankruptcies,01-07-2014,0
Businesses,Nunavut,Bankruptcies,01-08-2014,0
Businesses,Nunavut,Bankruptcies,01-09-2014,0
Businesses,Nunavut,Bankruptcies,01-10-2014,1
Businesses,Nunavut,Bankruptcies,01-11-2014,0
Businesses,Nunavut,Bankruptcies,01-12-2014,0
Businesses,Nunavut,Proposals,01-01-2014,0
Businesses,Nunavut,Proposals,01-02-2014,0
Businesses,Nunavut,Proposals,01-03-2014,0
Businesses,Nunavut,Proposals,01-04-2014,0
Businesses,Nunavut,Proposals,01-05-2014,0
Businesses,Nunavut,Proposals,01-06-2014,0
Businesses,Nunavut,Proposals,01-07-2014,0
Businesses,Nunavut,Proposals,01-08-2014,0
Businesses,Nunavut,Proposals,01-09-2014,0
Businesses,Nunavut,Proposals,01-10-2014,0
Businesses,Nunavut,Proposals,01-11-2014,0
Businesses,Nunavut,Proposals,01-12-2014,0
Businesses,Ontario,Bankruptcies,01-01-2014,73
Businesses,Ontario,Bankruptcies,01-02-2014,55
Businesses,Ontario,Bankruptcies,01-03-2014,65
Businesses,Ontario,Bankruptcies,01-04-2014,69
Businesses,Ontario,Bankruptcies,01-05-2014,75
Businesses,Ontario,Bankruptcies,01-06-2014,59
Businesses,Ontario,Bankruptcies,01-07-2014,70
Businesses,Ontario,Bankruptcies,01-08-2014,74
Businesses,Ontario,Bankruptcies,01-09-2014,70
Businesses,Ontario,Bankruptcies,01-10-2014,94
Businesses,Ontario,Bankruptcies,01-11-2014,73
Businesses,Ontario,Bankruptcies,01-12-2014,58
Businesses,Ontario,Proposals,01-01-2014,27
Businesses,Ontario,Proposals,01-02-2014,28
Businesses,Ontario,Proposals,01-03-2014,26
Businesses,Ontario,Proposals,01-04-2014,27
Businesses,Ontario,Proposals,01-05-2014,18
Businesses,Ontario,Proposals,01-06-2014,23
Businesses,Ontario,Proposals,01-07-2014,12
Businesses,Ontario,Proposals,01-08-2014,17
Businesses,Ontario,Proposals,01-09-2014,9
Businesses,Ontario,Proposals,01-10-2014,26
Businesses,Ontario,Proposals,01-11-2014,19
Businesses,Ontario,Proposals,01-12-2014,23
Businesses,Prince Edward Island,Bankruptcies,01-01-2014,0
Businesses,Prince Edward Island,Bankruptcies,01-02-2014,0
Businesses,Prince Edward Island,Bankruptcies,01-03-2014,1
Businesses,Prince Edward Island,Bankruptcies,01-04-2014,0
Businesses,Prince Edward Island,Bankruptcies,01-05-2014,1
Businesses,Prince Edward Island,Bankruptcies,01-06-2014,4
Businesses,Prince Edward Island,Bankruptcies,01-07-2014,2
Businesses,Prince Edward Island,Bankruptcies,01-08-2014,0
Businesses,Prince Edward Island,Bankruptcies,01-09-2014,1
Businesses,Prince Edward Island,Bankruptcies,01-10-2014,0
Businesses,Prince Edward Island,Bankruptcies,01-11-2014,2
Businesses,Prince Edward Island,Bankruptcies,01-12-2014,2
Businesses,Prince Edward Island,Proposals,01-01-2014,0
Businesses,Prince Edward Island,Proposals,01-02-2014,0
Businesses,Prince Edward Island,Proposals,01-03-2014,2
Businesses,Prince Edward Island,Proposals,01-04-2014,0
Businesses,Prince Edward Island,Proposals,01-05-2014,0
Businesses,Prince Edward Island,Proposals,01-06-2014,1
Businesses,Prince Edward Island,Proposals,01-07-2014,2
Businesses,Prince Edward Island,Proposals,01-08-2014,0
Businesses,Prince Edward Island,Proposals,01-09-2014,0
Businesses,Prince Edward Island,Proposals,01-10-2014,0
Businesses,Prince Edward Island,Proposals,01-11-2014,0
Businesses,Prince Edward Island,Proposals,01-12-2014,0
Businesses,Quebec,Bankruptcies,01-01-2014,127
Businesses,Quebec,Bankruptcies,01-02-2014,149
Businesses,Quebec,Bankruptcies,01-03-2014,153
Businesses,Quebec,Bankruptcies,01-04-2014,180
Businesses,Quebec,Bankruptcies,01-05-2014,137
Businesses,Quebec,Bankruptcies,01-06-2014,120
Businesses,Quebec,Bankruptcies,01-07-2014,128
Businesses,Quebec,Bankruptcies,01-08-2014,114
Businesses,Quebec,Bankruptcies,01-09-2014,143
Businesses,Quebec,Bankruptcies,01-10-2014,164
Businesses,Quebec,Bankruptcies,01-11-2014,146
Businesses,Quebec,Bankruptcies,01-12-2014,129
Businesses,Quebec,Proposals,01-01-2014,38
Businesses,Quebec,Proposals,01-02-2014,56
Businesses,Quebec,Proposals,01-03-2014,42
Businesses,Quebec,Proposals,01-04-2014,57
Businesses,Quebec,Proposals,01-05-2014,61
Businesses,Quebec,Proposals,01-06-2014,46
Businesses,Quebec,Proposals,01-07-2014,40
Businesses,Quebec,Proposals,01-08-2014,46
Businesses,Quebec,Proposals,01-09-2014,45
Businesses,Quebec,Proposals,01-10-2014,62
Businesses,Quebec,Proposals,01-11-2014,62
Businesses,Quebec,Proposals,01-12-2014,92
Businesses,Saskatchewan,Bankruptcies,01-01-2014,12
Businesses,Saskatchewan,Bankruptcies,01-02-2014,3
Businesses,Saskatchewan,Bankruptcies,01-03-2014,15
Businesses,Saskatchewan,Bankruptcies,01-04-2014,6
Businesses,Saskatchewan,Bankruptcies,01-05-2014,7
Businesses,Saskatchewan,Bankruptcies,01-06-2014,7
Businesses,Saskatchewan,Bankruptcies,01-07-2014,4
Businesses,Saskatchewan,Bankruptcies,01-08-2014,4
Businesses,Saskatchewan,Bankruptcies,01-09-2014,4
Businesses,Saskatchewan,Bankruptcies,01-10-2014,4
Businesses,Saskatchewan,Bankruptcies,01-11-2014,3
Businesses,Saskatchewan,Bankruptcies,01-12-2014,8
Businesses,Saskatchewan,Proposals,01-01-2014,6
Businesses,Saskatchewan,Proposals,01-02-2014,6
Businesses,Saskatchewan,Proposals,01-03-2014,4
Businesses,Saskatchewan,Proposals,01-04-2014,4
Businesses,Saskatchewan,Proposals,01-05-2014,3
Businesses,Saskatchewan,Proposals,01-06-2014,8
Businesses,Saskatchewan,Proposals,01-07-2014,3
Businesses,Saskatchewan,Proposals,01-08-2014,4
Businesses,Saskatchewan,Proposals,01-09-2014,4
Businesses,Saskatchewan,Proposals,01-10-2014,2
Businesses,Saskatchewan,Proposals,01-11-2014,1
Businesses,Saskatchewan,Proposals,01-12-2014,2
Businesses,Yukon,Bankruptcies,01-01-2014,0
Businesses,Yukon,Bankruptcies,01-02-2014,0
Businesses,Yukon,Bankruptcies,01-03-2014,0
Businesses,Yukon,Bankruptcies,01-04-2014,0
Businesses,Yukon,Bankruptcies,01-05-2014,0
Businesses,Yukon,Bankruptcies,01-06-2014,0
Businesses,Yukon,Bankruptcies,01-07-2014,0
Businesses,Yukon,Bankruptcies,01-08-2014,0
Businesses,Yukon,Bankruptcies,01-09-2014,0
Businesses,Yukon,Bankruptcies,01-10-2014,0
Businesses,Yukon,Bankruptcies,01-11-2014,0
Businesses,Yukon,Bankruptcies,01-12-2014,0
Businesses,Yukon,Proposals,01-01-2014,0
Businesses,Yukon,Proposals,01-02-2014,0
Businesses,Yukon,Proposals,01-03-2014,0
Businesses,Yukon,Proposals,01-04-2014,0
Businesses,Yukon,Proposals,01-05-2014,0
Businesses,Yukon,Proposals,01-06-2014,0
Businesses,Yukon,Proposals,01-07-2014,0
Businesses,Yukon,Proposals,01-08-2014,0
Businesses,Yukon,Proposals,01-09-2014,0
Businesses,Yukon,Proposals,01-10-2014,0
Businesses,Yukon,Proposals,01-11-2014,0
Businesses,Yukon,Proposals,01-12-2014,1
Consumers,Alberta,Bankruptcies,01-01-2014,336
Consumers,Alberta,Bankruptcies,01-02-2014,302
Consumers,Alberta,Bankruptcies,01-03-2014,365
Consumers,Alberta,Bankruptcies,01-04-2014,367
Consumers,Alberta,Bankruptcies,01-05-2014,369
Consumers,Alberta,Bankruptcies,01-06-2014,329
Consumers,Alberta,Bankruptcies,01-07-2014,296
Consumers,Alberta,Bankruptcies,01-08-2014,289
Consumers,Alberta,Bankruptcies,01-09-2014,313
Consumers,Alberta,Bankruptcies,01-10-2014,339
Consumers,Alberta,Bankruptcies,01-11-2014,292
Consumers,Alberta,Bankruptcies,01-12-2014,262
Consumers,Alberta,Proposals,01-01-2014,300
Consumers,Alberta,Proposals,01-02-2014,361
Consumers,Alberta,Proposals,01-03-2014,384
Consumers,Alberta,Proposals,01-04-2014,413
Consumers,Alberta,Proposals,01-05-2014,399
Consumers,Alberta,Proposals,01-06-2014,379
Consumers,Alberta,Proposals,01-07-2014,346
Consumers,Alberta,Proposals,01-08-2014,340
Consumers,Alberta,Proposals,01-09-2014,385
Consumers,Alberta,Proposals,01-10-2014,372
Consumers,Alberta,Proposals,01-11-2014,351
Consumers,Alberta,Proposals,01-12-2014,392
Consumers,British Columbia,Bankruptcies,01-01-2014,486
Consumers,British Columbia,Bankruptcies,01-02-2014,524
Consumers,British Columbia,Bankruptcies,01-03-2014,586
Consumers,British Columbia,Bankruptcies,01-04-2014,611
Consumers,British Columbia,Bankruptcies,01-05-2014,634
Consumers,British Columbia,Bankruptcies,01-06-2014,568
Consumers,British Columbia,Bankruptcies,01-07-2014,559
Consumers,British Columbia,Bankruptcies,01-08-2014,438
Consumers,British Columbia,Bankruptcies,01-09-2014,505
Consumers,British Columbia,Bankruptcies,01-10-2014,498
Consumers,British Columbia,Bankruptcies,01-11-2014,466
Consumers,British Columbia,Bankruptcies,01-12-2014,470
Consumers,British Columbia,Proposals,01-01-2014,358
Consumers,British Columbia,Proposals,01-02-2014,373
Consumers,British Columbia,Proposals,01-03-2014,404
Consumers,British Columbia,Proposals,01-04-2014,380
Consumers,British Columbia,Proposals,01-05-2014,458
Consumers,British Columbia,Proposals,01-06-2014,435
Consumers,British Columbia,Proposals,01-07-2014,458
Consumers,British Columbia,Proposals,01-08-2014,385
Consumers,British Columbia,Proposals,01-09-2014,466
Consumers,British Columbia,Proposals,01-10-2014,514
Consumers,British Columbia,Proposals,01-11-2014,411
Consumers,British Columbia,Proposals,01-12-2014,396
Consumers,Canada,Bankruptcies,01-01-2014,4851
Consumers,Canada,Bankruptcies,01-02-2014,5206
Consumers,Canada,Bankruptcies,01-03-2014,5580
Consumers,Canada,Bankruptcies,01-04-2014,6049
Consumers,Canada,Bankruptcies,01-05-2014,6137
Consumers,Canada,Bankruptcies,01-06-2014,5210
Consumers,Canada,Bankruptcies,01-07-2014,5433
Consumers,Canada,Bankruptcies,01-08-2014,4945
Consumers,Canada,Bankruptcies,01-09-2014,5517
Consumers,Canada,Bankruptcies,01-10-2014,5840
Consumers,Canada,Bankruptcies,01-11-2014,5091
Consumers,Canada,Bankruptcies,01-12-2014,4980
Consumers,Canada,Proposals,01-01-2014,3974
Consumers,Canada,Proposals,01-02-2014,4368
Consumers,Canada,Proposals,01-03-2014,4791
Consumers,Canada,Proposals,01-04-2014,4690
Consumers,Canada,Proposals,01-05-2014,4641
Consumers,Canada,Proposals,01-06-2014,4291
Consumers,Canada,Proposals,01-07-2014,4478
Consumers,Canada,Proposals,01-08-2014,4169
Consumers,Canada,Proposals,01-09-2014,4546
Consumers,Canada,Proposals,01-10-2014,4961
Consumers,Canada,Proposals,01-11-2014,4292
Consumers,Canada,Proposals,01-12-2014,4010
Consumers,Manitoba,Bankruptcies,01-01-2014,72
Consumers,Manitoba,Bankruptcies,01-02-2014,79
Consumers,Manitoba,Bankruptcies,01-03-2014,92
Consumers,Manitoba,Bankruptcies,01-04-2014,107
Consumers,Manitoba,Bankruptcies,01-05-2014,102
Consumers,Manitoba,Bankruptcies,01-06-2014,94
Consumers,Manitoba,Bankruptcies,01-07-2014,105
Consumers,Manitoba,Bankruptcies,01-08-2014,96
Consumers,Manitoba,Bankruptcies,01-09-2014,128
Consumers,Manitoba,Bankruptcies,01-10-2014,89
Consumers,Manitoba,Bankruptcies,01-11-2014,111
Consumers,Manitoba,Bankruptcies,01-12-2014,125
Consumers,Manitoba,Proposals,01-01-2014,46
Consumers,Manitoba,Proposals,01-02-2014,46
Consumers,Manitoba,Proposals,01-03-2014,60
Consumers,Manitoba,Proposals,01-04-2014,60
Consumers,Manitoba,Proposals,01-05-2014,65
Consumers,Manitoba,Proposals,01-06-2014,72
Consumers,Manitoba,Proposals,01-07-2014,48
Consumers,Manitoba,Proposals,01-08-2014,66
Consumers,Manitoba,Proposals,01-09-2014,56
Consumers,Manitoba,Proposals,01-10-2014,73
Consumers,Manitoba,Proposals,01-11-2014,49
Consumers,Manitoba,Proposals,01-12-2014,50
Consumers,New Brunswick,Bankruptcies,01-01-2014,210
Consumers,New Brunswick,Bankruptcies,01-02-2014,233
Consumers,New Brunswick,Bankruptcies,01-03-2014,202
Consumers,New Brunswick,Bankruptcies,01-04-2014,300
Consumers,New Brunswick,Bankruptcies,01-05-2014,293
Consumers,New Brunswick,Bankruptcies,01-06-2014,224
Consumers,New Brunswick,Bankruptcies,01-07-2014,250
Consumers,New Brunswick,Bankruptcies,01-08-2014,275
Consumers,New Brunswick,Bankruptcies,01-09-2014,268
Consumers,New Brunswick,Bankruptcies,01-10-2014,276
Consumers,New Brunswick,Bankruptcies,01-11-2014,243
Consumers,New Brunswick,Bankruptcies,01-12-2014,247
Consumers,New Brunswick,Proposals,01-01-2014,95
Consumers,New Brunswick,Proposals,01-02-2014,94
Consumers,New Brunswick,Proposals,01-03-2014,100
Consumers,New Brunswick,Proposals,01-04-2014,123
Consumers,New Brunswick,Proposals,01-05-2014,117
Consumers,New Brunswick,Proposals,01-06-2014,101
Consumers,New Brunswick,Proposals,01-07-2014,102
Consumers,New Brunswick,Proposals,01-08-2014,122
Consumers,New Brunswick,Proposals,01-09-2014,118
Consumers,New Brunswick,Proposals,01-10-2014,108
Consumers,New Brunswick,Proposals,01-11-2014,105
Consumers,New Brunswick,Proposals,01-12-2014,102
Consumers,Newfoundland and Labrador,Bankruptcies,01-01-2014,98
Consumers,Newfoundland and Labrador,Bankruptcies,01-02-2014,115
Consumers,Newfoundland and Labrador,Bankruptcies,01-03-2014,127
Consumers,Newfoundland and Labrador,Bankruptcies,01-04-2014,133
Consumers,Newfoundland and Labrador,Bankruptcies,01-05-2014,134
Consumers,Newfoundland and Labrador,Bankruptcies,01-06-2014,119
Consumers,Newfoundland and Labrador,Bankruptcies,01-07-2014,111
Consumers,Newfoundland and Labrador,Bankruptcies,01-08-2014,101
Consumers,Newfoundland and Labrador,Bankruptcies,01-09-2014,110
Consumers,Newfoundland and Labrador,Bankruptcies,01-10-2014,120
Consumers,Newfoundland and Labrador,Bankruptcies,01-11-2014,108
Consumers,Newfoundland and Labrador,Bankruptcies,01-12-2014,72
Consumers,Newfoundland and Labrador,Proposals,01-01-2014,8
Consumers,Newfoundland and Labrador,Proposals,01-02-2014,12
Consumers,Newfoundland and Labrador,Proposals,01-03-2014,18
Consumers,Newfoundland and Labrador,Proposals,01-04-2014,12
Consumers,Newfoundland and Labrador,Proposals,01-05-2014,16
Consumers,Newfoundland and Labrador,Proposals,01-06-2014,13
Consumers,Newfoundland and Labrador,Proposals,01-07-2014,15
Consumers,Newfoundland and Labrador,Proposals,01-08-2014,25
Consumers,Newfoundland and Labrador,Proposals,01-09-2014,16
Consumers,Newfoundland and Labrador,Proposals,01-10-2014,23
Consumers,Newfoundland and Labrador,Proposals,01-11-2014,21
Consumers,Newfoundland and Labrador,Proposals,01-12-2014,18
Consumers,Northwest Territories,Bankruptcies,01-01-2014,0
Consumers,Northwest Territories,Bankruptcies,01-02-2014,2
Consumers,Northwest Territories,Bankruptcies,01-03-2014,5
Consumers,Northwest Territories,Bankruptcies,01-04-2014,0
Consumers,Northwest Territories,Bankruptcies,01-05-2014,3
Consumers,Northwest Territories,Bankruptcies,01-06-2014,3
Consumers,Northwest Territories,Bankruptcies,01-07-2014,2
Consumers,Northwest Territories,Bankruptcies,01-08-2014,1
Consumers,Northwest Territories,Bankruptcies,01-09-2014,0
Consumers,Northwest Territories,Bankruptcies,01-10-2014,4
Consumers,Northwest Territories,Bankruptcies,01-11-2014,1
Consumers,Northwest Territories,Bankruptcies,01-12-2014,5
Consumers,Northwest Territories,Proposals,01-01-2014,0
Consumers,Northwest Territories,Proposals,01-02-2014,2
Consumers,Northwest Territories,Proposals,01-03-2014,5
Consumers,Northwest Territories,Proposals,01-04-2014,2
Consumers,Northwest Territories,Proposals,01-05-2014,1
Consumers,Northwest Territories,Proposals,01-06-2014,2
Consumers,Northwest Territories,Proposals,01-07-2014,0
Consumers,Northwest Territories,Proposals,01-08-2014,4
Consumers,Northwest Territories,Proposals,01-09-2014,1
Consumers,Northwest Territories,Proposals,01-10-2014,0
Consumers,Northwest Territories,Proposals,01-11-2014,4
Consumers,Northwest Territories,Proposals,01-12-2014,2
Consumers,Nova Scotia,Bankruptcies,01-01-2014,195
Consumers,Nova Scotia,Bankruptcies,01-02-2014,284
Consumers,Nova Scotia,Bankruptcies,01-03-2014,280
Consumers,Nova Scotia,Bankruptcies,01-04-2014,354
Consumers,Nova Scotia,Bankruptcies,01-05-2014,384
